Code,Description,LAT,LON
10223,"Anderson, IN: Anderson Municipal-Darlington Field",40.10776265,-85.6101306392725
10224,"Aiken, SC: Aiken Regional",43.4919876,-71.6438417
10225,"Wainwright, AK: Wainwright Airport",70.63790295000003,-160.0150279490063
10226,"Aitutaki, Cook Islands: Aitutaki Airport",-18.8364468,-159.76131004763315
10227,"Atlantic City, NJ: Bader Field",39.3859082,-74.4254622
10228,"Lake of the Ozarks, MO: Lee C Fine Memorial",38.092457200000005,-92.55351790002943
10229,"Ajaccio, France: Ajaccio Napoleon Bonaparte",,
10230,"Jouf, Saudi Arabia: Al Jouf",,
10231,"Akjoujt, Mauritania: Akjoujt Airport",19.73233875,-14.38345276677947
10232,"Aizwal, India: Lengpui",23.84025375,92.62118460176323
10233,"Anjouan, Comoros: Ouani",-12.12890235,44.428863168418935
10234,"Arvidsjaur, Sweden: Arvidsjaur Airport",65.5920366,19.264585907892943
10235,"Aracaju, Brazil: Santa Maria International",-33.9349983,151.1658899
10236,"Agades, Niger: Mano Dayak",16.9660889,8.000091386993862
10237,"Atka, AK: Atka Airport",52.22221525000001,-174.2066819239687
10238,"Akron, OH: Akron Fulton International",41.03582455,-81.46986366804019
10239,"Kufrah, Libya: Kufra",24.178313199999998,23.314096643709807
10241,"Akiak, AK: Akiak Airport",60.90524370000001,-161.2268225
10242,"Asahikawa, Japan: Asahikawa Airport",43.66853565,142.45132831497074
10243,"Akhiok, AK: Akhiok Airport",56.940846400000005,-154.1765754
10244,"Auckland, New Zealand: Auckland International",-37.00889695,174.7912450937284
10245,"King Salmon, AK: King Salmon Airport",58.675316599999995,-156.6493870251819
10246,"Akron, CO: Colorado Plains Regional",40.1714892,-103.2091917
10247,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",68.13230899999999,-151.74612222726378
10248,"Akure, Nigeria: Akure Airport",7.246739900000001,5.301010099999999
10249,"Auki, Solomon Islands: Auki Airport",-8.7042047,160.6817763
10250,"Akrotiri, Cyprus: Akrotiri Airport",34.590400700000004,32.9878998
10251,"Aktyubinsk, Kazakhstan: Aktyubinsk Airport",,
10252,"Sittwe, Burma: Sittwe Airport",20.13189495,92.87651483370146
10253,"Albertville, AL: Albertville Regional-Thomas J Brumlik Field",34.2310427,-86.25228890000001
10254,"Alabaster, AL: Shelby County",33.1783262,-86.78283789217758
10255,"Huntsville, AL: Huntsville Executive Tom Sharp Jr",,
10256,"Almaty, Kazakhstan: Almaty Airport",43.3467079,77.0115309
10257,"Albany, NY: Albany International",42.74801595,-73.79855563763934
10258,"Alicante, Spain: Alicante Elche",38.28441770000001,-0.5657529081106044
10259,"Alpine, TX: Alpine Casparis Municipal",30.38279945,-103.69072634965818
10260,"Alta, Norway: Alta Airport",69.97716319999999,23.359518965058623
10261,"Algiers, Algeria: Houari Boumediene",35.16842905,-0.5913670050520954
10262,"Albany, Australia: Albany Airport",-34.9443954,117.80958889032424
10263,"Alice, TX: Alice International",27.736593699999997,-98.02485018331095
10264,"Alexander Bay, South Africa: Alexander Bay Airport",-28.570947200000003,16.5318225
10265,"Asela, Ethiopia: Asela Airport",,
10266,"Alamogordo, NM: Alamogordo White Sands Regional",32.838706300000005,-105.98913630933271
10267,"Alton, IL: St. Louis Regional",38.889237200000004,-90.05158725782107
10268,"Waterloo, IA: Waterloo Regional",42.5577097,-92.3940615771661
10269,"Aleppo, Syria: Aleppo International",36.18214815,37.21872403680198
10270,"Alegrete, Brazil: Alegrete Airport",-29.80888535,-55.89765524254537
10271,"Alexandra, New Zealand: Alexandra Airport",-45.2069903,169.37004754029164
10272,"Alamosa, CO: San Luis Valley Regional/Bergman Field",,
10273,"Alenquer, Brazil: Alenquer Airport",-1.9184172,-54.72704959301961
10274,"Alula, Somalia: Alula Airport",11.959044500000001,50.749680600000005
10275,"Walla Walla, WA: Walla Walla Regional",46.0940857,-118.2911423239682
10276,"Alexander City, AL: Thomas C. Russell Field",32.91343435,-85.96246743466183
10277,"Alexandria, Egypt: Alexandria International",31.32927365,-92.5409237515579
10278,"Lazy Bay, AK: Alitak Seaplane Base",56.8973983,-154.24957709999998
10279,"Amarillo, TX: Rick Husband Amarillo International",35.219372250000006,-101.70184722627936
10280,"Ahmedabad, India: Ahmedabad International",23.07555335,72.62426710783599
10281,"Ama, Papua New Guinea: Ama Airport",35.219372250000006,-101.70184722627936
10282,"Amboin, Papua New Guinea: Amboin Airport",-10.7218306,13.765036832632957
