YEAR,QUARTER,MONTH,AIRLINE_ID,UNIQUE_CARRIER,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOM_GALLONS,SDOMT_GALLONS,SATL_GALLONS,SPAC_GALLONS,SLAT_GALLONS,SINT_GALLONS,TS_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,NATL_GALLONS,NPAC_GALLONS,NLAT_GALLONS,MAC_GALLONS,NINT_GALLONS,TN_GALLONS,TDOMT_GALLONS,TINT_GALLONS,TOTAL_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,SATL_COST,SPAC_COST,SLAT_COST,SINT_COST,TS_COST,NALA_COST,NDOM_COST,NDOMT_COST,NATL_COST,NPAC_COST,NLAT_COST,MAC_COST,NINT_COST,TN_COST,TDOMT_COST,TINT_COST,TOTAL_COST
2010,1,1,20304.0,OO,OO,SkyWest Airlines Inc.,3,0.0,9089976.0,9089976.0,0.0,0.0,0.0,0.0,9089976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9089976.0,0.0,9089976.0,0.0,23076891.0,23076891.0,0.0,0.0,0.0,0.0,23076891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23076891.0,0.0,23076891.0
2010,1,1,20414.0,OW,OW,Executive Airlines,2,0.0,1110393.0,1110393.0,0.0,0.0,350650.0,350650.0,1461043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110393.0,350650.0,1461043.0,0.0,2699862.0,2699862.0,0.0,0.0,852588.0,852588.0,3552450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2699862.0,852588.0,3552450.0
2010,1,1,20100.0,PO,PO,Polar Air Cargo Airways,2,0.0,1801406.0,1801406.0,676369.0,5228729.0,0.0,5905098.0,7706504.0,0.0,6271.0,6271.0,0.0,0.0,0.0,84667.0,84667.0,90938.0,1807677.0,5989765.0,7797442.0,0.0,4693493.0,4693493.0,1719867.0,12640764.0,0.0,14360631.0,19054124.0,0.0,16806.0,16806.0,0.0,0.0,0.0,226908.0,226908.0,243714.0,4710299.0,14587539.0,19297838.0
2010,1,1,20149.0,PRQ,PRQ,Florida West Airlines Inc.,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60448.0,60448.0,0.0,0.0,712231.0,0.0,712231.0,772679.0,60448.0,712231.0,772679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137009.0,137009.0,0.0,0.0,1646220.0,0.0,1646220.0,1783229.0,137009.0,1646220.0,1783229.0
2010,1,1,19687.0,QX,QX,Horizon Air,2,0.0,4836222.0,4836222.0,0.0,0.0,0.0,0.0,4836222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4836222.0,0.0,4836222.0,0.0,10245987.0,10245987.0,0.0,0.0,0.0,0.0,10245987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10245987.0,0.0,10245987.0
2010,1,1,20344.0,RD,RD,Ryan International Airlines,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171599.0,171599.0,0.0,0.0,0.0,2322067.0,2322067.0,2493666.0,171599.0,2322067.0,2493666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421790.0,421790.0,0.0,0.0,0.0,5707641.0,5707641.0,6129431.0,421790.0,5707641.0,6129431.0
2010,1,1,20448.0,S5,S5,Shuttle America Corp.,2,0.0,1718469.0,1718469.0,0.0,0.0,0.0,0.0,1718469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1718469.0,0.0,1718469.0,0.0,3692358.0,3692358.0,0.0,0.0,0.0,0.0,3692358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3692358.0,0.0,3692358.0
2010,1,1,20422.0,SY,SY,Sun Country Airlines d/b/a MN Airlines,2,0.0,1501468.0,1501468.0,0.0,0.0,597312.0,597312.0,2098780.0,0.0,142853.0,142853.0,0.0,0.0,37059.0,143318.0,180377.0,323230.0,1644321.0,777689.0,2422010.0,0.0,3549669.0,3549669.0,0.0,0.0,1448210.0,1448210.0,4997879.0,0.0,366064.0,366064.0,0.0,0.0,92651.0,399966.0,492617.0,858681.0,3915733.0,1940827.0,5856560.0
2010,1,1,20423.0,U5,U5,USA 3000 Airlines,2,0.0,273735.0,273735.0,0.0,0.0,1298647.0,1298647.0,1572382.0,0.0,27928.0,27928.0,0.0,0.0,4769.0,0.0,4769.0,32697.0,301663.0,1303416.0,1605079.0,0.0,659637.0,659637.0,0.0,0.0,3284638.0,3284638.0,3944275.0,0.0,87779.0,87779.0,0.0,0.0,12245.0,0.0,12245.0,100024.0,747416.0,3296883.0,4044299.0
2010,1,1,20447.0,U7,U7,USA Jet Airlines Inc.,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351325.0,351325.0,0.0,0.0,1711.0,0.0,1711.0,353036.0,351325.0,1711.0,353036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726025.0,726025.0,0.0,0.0,4790.0,0.0,4790.0,730815.0,726025.0,4790.0,730815.0
2010,1,1,19977.0,UA,UA,United Air Lines Inc.,3,0.0,78470838.0,78470838.0,28997723.0,36983545.0,6388115.0,72369383.0,150840221.0,0.0,192964.0,192964.0,243830.0,271099.0,107425.0,0.0,622354.0,815318.0,78663802.0,72991737.0,151655539.0,0.0,168027115.0,168027115.0,60825149.0,75858146.0,13728180.0,150411475.0,318438590.0,0.0,416464.0,416464.0,515789.0,569675.0,228717.0,0.0,1314181.0,1730645.0,168443579.0,151725656.0,320169235.0
2010,1,1,20355.0,US,US,US Airways Inc.,3,0.0,65841450.0,65841450.0,9659612.0,0.0,8630606.0,18290218.0,84131668.0,0.0,391147.0,391147.0,44068.0,0.0,51614.0,0.0,95682.0,486829.0,66232597.0,18385900.0,84618497.0,0.0,137553361.0,137553361.0,20648265.0,0.0,18635238.0,39283503.0,176836864.0,0.0,818496.0,818496.0,95305.0,0.0,111093.0,0.0,206398.0,1024894.0,138371857.0,39489901.0,177861758.0
2010,1,1,21171.0,VX,VX,Virgin America,2,0.0,7818735.0,7818735.0,0.0,0.0,0.0,0.0,7818735.0,0.0,1210.0,1210.0,0.0,0.0,0.0,0.0,0.0,1210.0,7819945.0,0.0,7819945.0,0.0,16367752.0,16367752.0,0.0,0.0,0.0,0.0,16367752.0,0.0,3061.0,3061.0,0.0,0.0,0.0,0.0,0.0,3061.0,16370813.0,0.0,16370813.0
