COUNT,DATE
1145,2014-06-02
993,2014-06-03
1847,2014-06-04
1247,2014-06-05
1399,2014-06-06
1673,2014-06-07
1096,2014-06-08
1702,2014-06-09
2651,2014-06-10
1813,2014-06-11
1794,2014-06-12
1866,2014-06-13
1426,2014-06-14
1232,2014-06-15
1414,2014-06-16
4859,2014-06-17
2575,2014-06-18
2169,2014-06-19
1908,2014-06-20
1620,2014-06-21
1198,2014-06-22
1396,2014-06-23
5145,2014-06-24
2166,2014-06-25
1690,2014-06-26
1529,2014-06-27
1208,2014-06-28
1100,2014-06-29
1963,2014-06-30
1521,2014-07-01
1555,2014-07-02
2220,2014-07-03
2533,2014-07-04
798,2014-07-05
1075,2014-07-06
1376,2014-07-07
1420,2014-07-08
1446,2014-07-09
1853,2014-07-10
1524,2014-07-11
1163,2014-07-12
1043,2014-07-13
1595,2014-07-14
1570,2014-07-15
1372,2014-07-16
1249,2014-07-17
1375,2014-07-18
991,2014-07-19
1097,2014-07-20
998,2014-07-21
2158,2014-07-22
1223,2014-07-23
1472,2014-07-24
1168,2014-07-25
980,2014-07-26
904,2014-07-27
1202,2014-07-28
1161,2014-07-29
1271,2014-07-30
1705,2014-07-31
1605,2014-08-01
1361,2014-08-02
1218,2014-08-03
1342,2014-08-04
1436,2014-08-05
1358,2014-08-06
1511,2014-08-07
1466,2014-08-08
1056,2014-08-09
1179,2014-08-10
1517,2014-08-11
2393,2014-08-12
1269,2014-08-13
1294,2014-08-14
1146,2014-08-15
934,2014-08-16
986,2014-08-17
1134,2014-08-18
1249,2014-08-19
1492,2014-08-20
1647,2014-08-21
1367,2014-08-22
961,2014-08-23
813,2014-08-24
1387,2014-08-25
2113,2014-08-26
1331,2014-08-27
1309,2014-08-28
1342,2014-08-29
3556,2014-08-30
664,2014-08-31
1807,2014-09-01
1255,2014-09-02
1089,2014-09-03
1562,2014-09-04
1013,2014-09-05
1014,2014-09-06
1044,2014-09-07
1427,2014-09-08
852,2014-09-09
841,2014-09-10
1368,2014-09-11
1127,2014-09-12
1023,2014-09-13
750,2014-09-14
969,2014-09-15
986,2014-09-16
857,2014-09-17
1156,2014-09-18
1303,2014-09-19
924,2014-09-20
914,2014-09-21
1564,2014-09-22
1151,2014-09-23
944,2014-09-24
1010,2014-09-25
1656,2014-09-26
978,2014-09-27
1314,2014-09-28
1398,2014-09-29
1527,2014-09-30
1675,2014-10-01
1970,2014-10-02
2307,2014-10-03
1870,2014-10-04
1083,2014-10-05
1912,2014-10-06
2091,2014-10-07
1473,2014-10-08
1739,2014-10-09
1822,2014-10-10
1466,2014-10-11
1186,2014-10-12
1938,2014-10-13
1689,2014-10-14
1672,2014-10-15
1247,2014-10-16
1454,2014-10-17
818,2014-10-18
842,2014-10-19
1295,2014-10-20
890,2014-10-21
866,2014-10-22
1021,2014-10-23
1128,2014-10-24
831,2014-10-25
847,2014-10-26
1358,2014-10-27
1062,2014-10-28
750,2014-10-29
970,2014-10-30
1234,2014-10-31
952,2014-11-01
739,2014-11-02
983,2014-11-03
822,2014-11-04
898,2014-11-05
881,2014-11-06
1066,2014-11-07
753,2014-11-08
711,2014-11-09
912,2014-11-10
870,2014-11-11
948,2014-11-12
1277,2014-11-13
1033,2014-11-14
945,2014-11-15
1232,2014-11-16
1676,2014-11-17
1277,2014-11-18
1002,2014-11-19
1058,2014-11-20
1127,2014-11-21
905,2014-11-22
1234,2014-11-23
1390,2014-11-24
959,2014-11-25
1452,2014-11-26
867,2014-11-27
569,2014-11-28
948,2014-11-29
2272,2014-11-30
2978,2014-12-01
1567,2014-12-02
1095,2014-12-03
2193,2014-12-04
1149,2014-12-05
1341,2014-12-06
1228,2014-12-07
1128,2014-12-08
972,2014-12-09
1100,2014-12-10
1056,2014-12-11
1114,2014-12-12
756,2014-12-13
874,2014-12-14
954,2014-12-15
1188,2014-12-16
1153,2014-12-17
1112,2014-12-18
1132,2014-12-19
1393,2014-12-20
1759,2014-12-21
1628,2014-12-22
1664,2014-12-23
1920,2014-12-24
1027,2014-12-25
1035,2014-12-26
1177,2014-12-27
3155,2014-12-28
3455,2014-12-29
2910,2014-12-30
4069,2014-12-31
2702,2015-01-01
1709,2015-01-02
2056,2015-01-03
1859,2015-01-04
1825,2015-01-05
1970,2015-01-06
1543,2015-01-07
1804,2015-01-08
1645,2015-01-09
1378,2015-01-10
1086,2015-01-11
1081,2015-01-12
1094,2015-01-13
1117,2015-01-14
1340,2015-01-15
1294,2015-01-16
882,2015-01-17
731,2015-01-18
930,2015-01-19
1205,2015-01-20
1127,2015-01-21
1162,2015-01-22
952,2015-01-23
686,2015-01-24
764,2015-01-25
3721,2015-01-26
1259,2015-01-27
1211,2015-01-28
1199,2015-01-29
933,2015-01-30
1170,2015-01-31
1132,2015-02-01
1496,2015-02-02
1254,2015-02-03
893,2015-02-04
1146,2015-02-05
1558,2015-02-06
1532,2015-02-07
1020,2015-02-08
1136,2015-02-09
869,2015-02-10
1168,2015-02-11
1935,2015-02-12
1225,2015-02-13
1038,2015-02-14
1107,2015-02-15
1272,2015-02-16
1257,2015-02-17
991,2015-02-18
985,2015-02-19
1344,2015-02-20
1177,2015-02-21
1651,2015-02-22
1401,2015-02-23
1400,2015-02-24
1413,2015-02-25
1977,2015-02-26
1729,2015-02-27
1047,2015-02-28
1195,2015-03-01
2042,2015-03-02
1448,2015-03-03
1221,2015-03-04
1605,2015-03-05
1698,2015-03-06
1293,2015-03-07
1211,2015-03-08
1089,2015-03-09
1809,2015-03-10
2590,2015-03-11
1728,2015-03-12
1100,2015-03-13
1035,2015-03-14
1372,2015-03-15
1246,2015-03-16
2246,2015-03-17
1566,2015-03-18
987,2015-03-19
1131,2015-03-20
1105,2015-03-21
971,2015-03-22
1450,2015-03-23
1374,2015-03-24
1219,2015-03-25
1515,2015-03-26
1724,2015-03-27
1480,2015-03-28
946,2015-03-29
1071,2015-03-30
996,2015-03-31
1001,2015-04-01
1439,2015-04-02
978,2015-04-03
755,2015-04-04
695,2015-04-05
1231,2015-04-06
979,2015-04-07
1169,2015-04-08
1701,2015-04-09
1351,2015-04-10
986,2015-04-11
1030,2015-04-12
1825,2015-04-13
1379,2015-04-14
1059,2015-04-15
1324,2015-04-16
1918,2015-04-17
1357,2015-04-18
1522,2015-04-19
1761,2015-04-20
1229,2015-04-21
913,2015-04-22
3360,2015-04-23
1186,2015-04-24
943,2015-04-25
1208,2015-04-26
1203,2015-04-27
1084,2015-04-28
890,2015-04-29
1048,2015-04-30
1311,2015-05-01
915,2015-05-02
821,2015-05-03
990,2015-05-04
863,2015-05-05
1224,2015-05-06
851,2015-05-07
1062,2015-05-08
963,2015-05-09
930,2015-05-10
3655,2015-05-11
2205,2015-05-12
1284,2015-05-13
1435,2015-05-14
1754,2015-05-15
999,2015-05-16
1047,2015-05-17
1458,2015-05-18
1523,2015-05-19
1423,2015-05-20
1334,2015-05-21
1189,2015-05-22
1120,2015-05-23
909,2015-05-24
949,2015-05-25
1294,2015-05-26
2490,2015-05-27
3200,2015-05-28
2375,2015-05-29
12528,2015-05-30
10174,2015-05-31
5934,2015-06-01
