,status,start_date,start_station,end_date,end_station,bike_nr,subsc_type,zip_code,birth_date,gender,id,start_hour,end_hour,start_weekday,end_weekday,trip_duration,age,start_coordinates,end_coordinates,start_municipal,end_municipal,start_latitude,start_longitude,end_latitude,end_longitude,stations_exist
7927,Closed,2011-08-06 00:30:00,47.0,2011-08-06 00:49:00,42.0,B00386,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDA6MzA6MDA6OC82LzIwMTEgMDA6NDk6MDA6NDcuMDo0Mi4wOkIwMDM4Ng==,0,0,5,5,1140,2019.0,"42.364779,-71.053461","42.3491713,-71.0695618",Boston,Boston,42.364779,-71.053461,42.3491713,-71.0695618,True
7928,Closed,2011-08-06 00:29:00,47.0,2011-08-06 00:49:00,42.0,B00382,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDA6Mjk6MDA6OC82LzIwMTEgMDA6NDk6MDA6NDcuMDo0Mi4wOkIwMDM4Mg==,0,0,5,5,1200,2019.0,"42.364779,-71.053461","42.3491713,-71.0695618",Boston,Boston,42.364779,-71.053461,42.3491713,-71.0695618,True
7930,Closed,2011-08-06 00:45:00,36.0,2011-08-06 01:11:00,36.0,B00118,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDA6NDU6MDA6OC82LzIwMTEgMDE6MTE6MDA6MzYuMDozNi4wOkIwMDExOA==,0,1,5,5,1560,2019.0,"42.3493269,-71.0786551908223","42.3493269,-71.0786551908223",Boston,Boston,42.3493269,-71.0786551908223,42.3493269,-71.0786551908223,True
7931,Closed,2011-08-06 00:45:00,36.0,2011-08-06 01:05:00,36.0,B00257,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDA6NDU6MDA6OC82LzIwMTEgMDE6MDU6MDA6MzYuMDozNi4wOkIwMDI1Nw==,0,1,5,5,1200,2019.0,"42.3493269,-71.0786551908223","42.3493269,-71.0786551908223",Boston,Boston,42.3493269,-71.0786551908223,42.3493269,-71.0786551908223,True
7932,Closed,2011-08-06 00:44:00,44.0,2011-08-06 01:09:00,44.0,B00261,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDA6NDQ6MDA6OC82LzIwMTEgMDE6MDk6MDA6NDQuMDo0NC4wOkIwMDI2MQ==,0,1,5,5,1500,2019.0,"42.3600335,-71.05623415","42.3600335,-71.05623415",Boston,Boston,42.3600335,-71.05623415,42.3600335,-71.05623415,True
7933,Closed,2011-08-06 00:45:00,44.0,2011-08-06 01:09:00,44.0,B00098,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDA6NDU6MDA6OC82LzIwMTEgMDE6MDk6MDA6NDQuMDo0NC4wOkIwMDA5OA==,0,1,5,5,1440,2019.0,"42.3600335,-71.05623415","42.3600335,-71.05623415",Boston,Boston,42.3600335,-71.05623415,42.3600335,-71.05623415,True
7934,Closed,2011-08-06 00:48:00,53.0,2011-08-06 01:09:00,46.0,B00414,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDA6NDg6MDA6OC82LzIwMTEgMDE6MDk6MDA6NTMuMDo0Ni4wOkIwMDQxNA==,0,1,5,5,1260,2019.0,"42.3553503,-71.0728293","42.34434735,-71.0835021653958",Boston,Boston,42.3553503,-71.0728293,42.34434735,-71.0835021653958,True
7935,Closed,2011-08-06 00:49:00,53.0,2011-08-06 01:09:00,46.0,B00515,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDA6NDk6MDA6OC82LzIwMTEgMDE6MDk6MDA6NTMuMDo0Ni4wOkIwMDUxNQ==,0,1,5,5,1200,2019.0,"42.3553503,-71.0728293","42.34434735,-71.0835021653958",Boston,Boston,42.3553503,-71.0728293,42.34434735,-71.0835021653958,True
7936,Closed,2011-08-06 00:48:00,53.0,2011-08-06 01:09:00,46.0,B00120,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDA6NDg6MDA6OC82LzIwMTEgMDE6MDk6MDA6NTMuMDo0Ni4wOkIwMDEyMA==,0,1,5,5,1260,2019.0,"42.3553503,-71.0728293","42.34434735,-71.0835021653958",Boston,Boston,42.3553503,-71.0728293,42.34434735,-71.0835021653958,True
7937,Closed,2011-08-06 00:48:00,53.0,2011-08-06 01:09:00,46.0,B00023,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDA6NDg6MDA6OC82LzIwMTEgMDE6MDk6MDA6NTMuMDo0Ni4wOkIwMDAyMw==,0,1,5,5,1260,2019.0,"42.3553503,-71.0728293","42.34434735,-71.0835021653958",Boston,Boston,42.3553503,-71.0728293,42.34434735,-71.0835021653958,True
